title,content
一年奔波，尘缘遇了谁,一年奔波，尘缘遇了谁；一句珍重，天涯别了谁；一点灵犀，凭栏忆了谁；一种相思，闲愁予了谁；一江明月，豪情酬了谁；一场冬雪，烟波忘了谁；一壶浊酒，相逢醉了谁；一世浮生，轻狂撩了谁；一封短信，才情念了谁；一番思量，谁是谁的谁 ；一枚围脖，转发回复谁.....
如果给你一次去西天取经的机会,如果给你一次去西天取经的机会，选3个做你的徒弟，你会选谁？⒈多啦A梦。⒉柯南。⒊蜡笔小新。⒋樱木花道。⒌悟空。⒌大力水手。⒍超人。⒎功夫熊猫。⒏美少女战士。⒐路飞。⒑漩涡鸣人。⒒奥特曼。⒓卡卡西。⒔喜羊羊。⒕蜘蛛侠。⒖百变小樱。⒗忍者神龟。⒘变形金刚。⒙八神庵。⒚杀生丸。⒛阿童木
有一种借口叫年轻,有一种借口叫年轻，可以不珍惜时光，不珍惜爱，不珍惜一切来之不易的东西。有一种感情叫错过，错过爱，错过可以相守的人，错过一段刻骨铭心的情。有一种寂寞叫想念，想念一个人，一段往事，一场相遇。寂静的夜里，深深切切的想念，于是深深切切地寂寞……
你拼，或者不拼命，工资就在那里，不增不减,你病，或者不病倒，老板就在那里，不悲不喜； 你休，或者不休假，工作就在那里，不来不去； 你拼，或者不拼命，工资就在那里，不增不减； 你辞，或者不辞职，地球还是会转，不歇不停； 让我中500万，或者 让我傍个大款， 扯淡，蛋疼，淡定，悲催，关注，评论，转发！！！
每天的太阳都是新的，不要辜负了美好的晨光,好好去爱，去生活。青春如此短暂，不要叹老。偶尔可以停下来休息，但是别蹲下来张望。走了一条路的时候，记得别回头看。时不时问问自己，自己在干嘛?记住，每天的太阳都 是新的，不要辜负了美好的晨光。
糗事百科之找工作真难,妈妈语重心长的对女儿说，“从小你就不聪明，累死累活的才考上个大学，毕业后还找不到工作，现在司机要男的、编辑要男的、会计要男的、连秘书也指定要男的，妈实在为你操碎了心啊。”女儿，“555555……。”妈妈一抹脸，坚定的说，“所以趁现在老婆还能是女人，赶紧上岗，要不然过两年……”
有时候，觉得自己拥有着整个世界,有时候，面对着身边的人，突然觉得说不出话。 有时候，曾经一直坚持的东西一夜间面目全非。 有时候，想放纵自己，希望自己痛痛快快歇斯底里地发一次疯。 有时候，别人突然对你说，我觉得你变了，然后自己开始百感交集。 有时候，觉得自己拥有着整个世界，一瞬间却又觉得自己其实一无所有。
这个世界上，总有个人治得了你,"只要看到他,你的坏脾气自然收敛起来,变得驯如羔羊。只要看到他,你的沮丧会消失得无影无踪。跟他一起,你才发现自己从没这么温柔过；跟他一起,你会努力表现得聪明些。——爱上了他,你有点怕他；爱上了他,你开始相信命运；是否前世你欠了他什么？谁知道,他治得了你。"
青春，是我们不管不顾、不可收拾的疯狂,约上三五好友，哪怕一个两个，说些不三不四、不着边际的话，看些没心没肺、不痛不痒的碟，然后再胡吃海喝、举杯把盏。青春，是我们不管不顾、不可收拾的疯狂。
永远不要小看一个保持身材的女人,永远不要小看一个保持身材的女人。因为这意味着她们有着常人不能比的毅志力和忍耐力，拒绝掉了常人不能拒绝的诱惑。 一个减肥的女人，她必须控制饮食，坚持运动，勤练瑜伽，拒绝一切能让自己长胖的美味和热量。这样的超强毅力和控制力，用在情场和职场上，简直就是无往而不利。
相爱的人会在感情的曲折里一起成长,相爱的人不会因为一句分手而结束， 更不会因为一个错误而真的做到一次不忠百次不容。 相爱的人会在感情的曲折里一起成长。只要经过一个曲折熬了过去爱就又增长了点， 又一个曲折熬了过去大家学会珍惜对方一点。 一路下去爱越来越深，只会深深的相爱着， 懂得对方的好，不会再分开。
爱情就像等巴士一样,其实爱情就像等巴士一样，有时候你觉得这巴士好旧不肯上；有时你又觉得这巴士怎么没有空调？又不肯上；有时候你又觉得，哇这么多人！于是又不上了。等啊等啊，天黑了，心急了，一见到巴士来，就跳上去！糟了搭错车了！你浪费时间又浪费钱，而且你又不知道下一辆巴士什么时候来。
你不知道某些时刻，我有多么难过,你不知道某些时刻，我有多么难过。 你不知道，没有回应的等待，真的让人很累。 你不知道，我是鼓起了多大的勇气，才敢念念不忘。 又或者，你不是不知道，只是假装不知道。 你那么自私。我那么傻。 我曾经所有的炽烈，最终，还是被你耗尽了。
我想谈一场永不分手的恋爱,"我想谈一场永不分手的恋爱,就算吵架,就算生气,就算分开,也会再在一起。我想谈一场永不分手的恋爱,就算我们很忙,就算我们很累,只要见到彼此就会温馨一笑.我们会一直走下去。我想谈一场永不分手的恋爱.蹒跚漫步,夕阳西下,白头到老,相濡以沫.然后轻抚着你的脸庞轻声说句：对你的感觉一直都在。"
你蹑足而至的温柔是我最初的仪式和最后的爱情,"你路过我的野蛮与惊慌，做作与荒唐，你是那些丑陋岁月的容纳箱，你于我已经不是一段简单的情感，你是我含在嘴里的一颗糖，落进眼里没法糅的一粒沙，你蹑足而至的温柔是我最初的仪式和最后的爱情。——W.Y Photo by  Kristybee,MUsic now <Fahion Awards> by Eels http://t.cn/7fEQI"
暗恋一个人,暗恋一个人，就是当你突然看到迎面走来的他/她时，那种猝不及防的如遭雷击的触电感。虽然你会表现的很镇定自若，就如素不相识一般，一脸清高和漠然的从他/她身边走过，可是却难以掩饰掉心里的那份紧张慌乱、羞怯和不安。
要让爱情简单，最好就是精选适合自己的对象,要让爱情简单，最好就是精选适合自己的对象。——一个真正值得去爱、也懂得回爱的人，自然会让爱情变得简单。这样，两人之间平时不需要猜测心意，不用担心行踪；不害怕在无意之间激怒，不怀疑做任何事情的动机。两人之间，有一点牵挂，却不会纠缠；两人之间，有一点想念，却不会伤心。
假如有一天能真牵你的手,假如有一天能真牵你的手，我愿意把全部的眷恋，都放进手心，让你细细地触摸。或许在你对我伸出手的那一瞬，我就拥有了世界上所有的关怀与热忱。好想有一天，你微笑着轻轻地对我伸出手，挡去所有忧伤，所有独寂。让我安心地牵着你的手。我深知，假如能够如此地牵念你、爱你，将是我一生中心底里的幸福。
民国第一女杀手,【民国第一女杀手】协助汪精卫刺杀摄政王载沣；组织刺杀袁世凯；成功刺杀良弼；“巴黎和会”以袖中玫瑰为枪，顶住陆征祥说“你要签字就杀了你。”最终陆没签。她是郑毓秀。后来成为中国第一位女博士，丈夫是“台湾首任外交部长”。外孙女是83版《射雕英雄传》穆念慈扮演者杨盼盼。
今天我们怎样做父母,人生很漫长，假如将之比喻成比赛场上的马拉松，那么，起跑时需要足够的贮备。这贮备就是健全的身体和人格。一位在众人眼里很成功的年轻人告诉我，如果将来他有了孩子，绝不让孩子重复他的人生轨迹，他要给孩子一个快乐的童年，不让孩子在攀比中成长。
我们要接受不完美的自己,我们都不是很完美的人，但我们要接受不完美的自己。在孤独的时候，给自己安慰；在寂寞的时候，给自己温暖。学会独立，告别依赖，对软弱的自己说再见。生活不是只有温暖，人生的路不会永远平坦，但只要你对自己有信心，知道自己的价值，懂的珍惜自己，世界的一切不完美，你都可以坦然面对。
人的一生,0岁出场，10岁成长，20岁彷徨，30岁定向，40岁打拼，50岁回望，60岁告老，70岁搓麻，80岁晒太阳，90岁躺床上，100岁挂墙上。生的伟大，死的凄凉，能牵手的时候，请别肩并肩，能拥抱的时候，请别手牵手，能相爱的时候，请别说分开。一生就这么短暂而已。
女人其实很简单,女人其实很简单，她们会不顾一切的追求幸福，不在乎未来怎样，不在乎流言蜚语，不在乎名誉地位，不在乎异样眼神；女人其实很简单，会在失恋时抱头痛哭，会放下骄傲乞求男人回头，会痴痴等待，会幻想和他还能走到一起；女人其实很简单，会肆无忌惮的哭会肆无忌惮的笑。其实，每个女孩都是简单的天使。
爱不是逃避，是努力,爱不是逃避，是努力。不是逃避着给彼此幸福的责任，而是努力的实现让彼此幸福的义务。当你说离开是为了不让对方受到伤害的时候，你已经给对方造成了最大的伤害。 不要因为害怕彼此离开而体谅。 爱是一种责任，不可以轻易的离开。
原来我们都是倔强的孩子,曾经在某一瞬间，我们都以为自己长大了。但是有一天，我们终于发现，长大的含义除了欲望，还有勇气、责任、坚强以及某种必须的牺牲，包括爱与被爱。原来我们从未长大，原来我们都是倔强的孩子。
人是跳跃着前进的,人是跳跃着前进的，你必须活得像只袋鼠一样，因为你脚下脚下不是坦途，而是一道道深不见底的沟。总得丢弃一些东西你才可能不跌落下去，但了却了童年的心愿之后，我们该晓得，顶要紧的事，是怀着虔诚的心把那些放弃的东西再找回来。——W.Y Music now < Le sable mouvant>
懒人瘦身法，躺着拉出好身材,懒人最希望躺着都能瘦身，4个简单的方法，都是在床上就能做的。坚持做一做，肌肉被拉长，身材自然会显得瘦起来。
男人的天堂，快去吧,拉脱维亚因男女比例相差最大，成为世界上“最缺男人的国家”。拉脱维亚女郎兼具俄罗斯女性的美貌和西欧女性的优雅，而且知识层次普遍较高，原本应是众多好男儿追捧仰慕的幸运儿，但女生多、男生少，弄得她们不得不把择偶要求一再降低，能找到个凑凑合合的男人就已经心满意足了。
真心，可以让爱情喜悦充实,心与心的距离，可以很近，也可以很远，被爱迷惑时，不妨静下心来，听听自己对爱的需求。爱情里面，长相、财富都是其次，有心最重要。细心，可以让爱情长长久久。贴心，可以让爱情甜甜蜜蜜。用心，可以让爱情历久弥新。交心，可以让爱情温暖光亮。真心，可以让爱情喜悦充实。慈悲心，可以让爱情增加厚度
纪念我们逝去的青葱岁月,广播操体转运动时，有没有偷看过自己喜欢的人？发成绩时，有没有偷看过自己喜欢的人的成绩？午休时，有没有站在宿舍窗前等待走出食堂的他？放学时，有没有希望他是一个人走，陪他走一小段路。有多少个瞬间是我们刻意为他们留下的。有的话，请转走，纪念我们逝去的青葱岁月。
理解别人，就是理解自己,一个成熟的人，应该少一些愤愤不平，少一些恶语中伤，多一份宽容与理解。过去不理解的，以后会理解，小时候不理解的，长大了会理解，长大了不理解的，年老了会理解。无论如何也理解不了的呢？只要人家没违法，我们就要理解其存在的合理性并容许别人以其喜欢的方式自由存在。理解别人，就是理解自己。
我们一起等我们的最后，最后的最后,如果，在身边的最后真的不是你。如果经历了那么多坎坷辗转后，最终还是要分开。如果故事到最后，是我们的身边都有了别的人。如果回忆，诺言和曾经相爱的决心都在现实面前变得渺小，不堪一击。不管以后如何，不管结局如何。现在的我还是愿意执着的去爱。—— 我们一起等我们的最后，最后的最后。
生活有进有退，输什么也不能输了心情,生活有进有退，输什么也不能输了心情。这世上，有时笑笑人家，有时给别人笑笑自己，放轻松，给自己快乐，也给别人快乐。日出东海落西山，富也一天，穷也一天；月缺月圆到年关，忧也一年，喜也一年；生活不钻牛角尖，人也舒坦，心也舒坦。
一句我等你，不知道需要多大的勇气,一句我等你，不知道需要多大的勇气。它远比我爱你三个字，更需要勇气。不是每个人你都愿意等待，也不是所有人都值得你去等待。一句我等你，包含了很多的无奈，心酸，苦涩。或许是爱不到，或许是不能爱，无论怎样，我等你这个承诺， 远比我爱你更动听。可是有多少的爱情经得起等待。
原来，曾经亲密无间的两个人，会连路人都不如,原来，曾经亲密无间的两个人，会连路人都不如；原来，如此关心爱护的两个人，也会彻底地失去联系。每个人都是孤独的个体，学会坚强，学会勇敢，学会拿的起，就能放的下。感情，会浓，也会变淡。即使有千般不愿，万般不舍，也阻止不了它的离去。删掉一切，却无法删掉那最深的记忆。
起床是会呼吸的痛,起床是会呼吸的痛，它挣扎在我的每个细胞中，被人叫醒会痛，闹钟响会痛，不定闹钟也痛；起床是会呼吸的痛，它流在血液中来回滚动，不起床会痛，起床会更痛，不想起床必须起床最痛。
要学会简单，你对世界简单了,人生的路很漫长，无论怎么选择，我们都要走向成熟的，都是朝着终点走去的。要学会不断地否定自己，世界是对的，错的是我们，慢慢地剔除年少的偏执轻狂；要学会体察他人，修炼包容大度的胸襟，其实对与错没有绝对，就看你心灵的境界有多宽广；要学会简单，你对世界简单了，世界也就不会太复杂。
没有过不去的事情，只有过不去的心情,没有过不去的事情，只有过不去的心情。确实是这样，很多事情我们之所以过不去是因为我们心里放不下，比如被欺骗了报复放不下，被讽刺了怨恨放不下，被批评了面子放不下。大部分人都只在乎事情本身并沉迷于事情带来的不愉快的心情。其实只要把心情变一下，世界就完全不同了。
你不知道某些时刻，我有多么难过,你不知道某些时刻，我有多么难过。 你不知道，没有回应的等待，真的让人很累。 你不知道，我是鼓起了多大的勇气，才敢念念不忘。 又或者，你不是不知道，只是假装不知道。 你那么自私。我那么傻。
假如我们做七天的情侣,假如我们做七天的情侣—————感动。
我希望有这样一个人,我希望他会在我的眼泪掉下以前就用大大的手掌捂住我的眼睛，轻声说我的眼睛只有微笑的时候最好看。我希望他会在我面无表情的时候搂紧我，然后说，你在我的面前永远都不需要伪装坚强。我希望他会在我受到委屈时把我的脑袋按在他的肩膀上，然后抚着我的头发说没关系就算所有的人都不相信你，你都还有我。
男人们，请对身边的女人说：你今天很好看哟,中国的男人不是缺少情趣，只是不善表达。女人打扮的花枝招展，男人要欣赏并夸奖她，随便的一句话，会让女人开心好长时间呢，如果你恰好是女人心仪的偶像，会让她甜蜜好久！就连本哲理这样抽象的老好人，夸奖女人时，女人也不会很无礼地说：呸！ 所以，男人们，请对身边的女人说：你今天很好看哟！
