title,price,mode,type,direction
整租·坊子公安局宿舍 3室1厅 南/北,900元/月(季付价),整租,3室1厅1卫 95㎡,"
                          "
整租·光谷SOHO 1室1厅 西,1200元/月,整租,1室1厅1卫 60㎡,"
                          "
整租·金江大厦 1室1厅 西,1000元/月,整租,1室1厅1卫 52㎡ 精装修,"
                          "
整租·市委小区 3室2厅 南,800元/月(年付价),整租,3室2厅1卫 107㎡,"
                          "
整租·虞河生活城 4室2厅 南,1200元/月(季付价),整租,4室2厅2卫 142㎡,"
                          "
整租·北美枫情 2室1厅 南/北,1000元/月(季付价),整租,2室1厅1卫 96㎡,"
                          "
整租·潍柴佳苑 3室2厅 南/北,1650元/月,整租,3室2厅1卫 125㎡,"
                          "
整租·市委小区 2室1厅 南/北,800元/月,整租,2室1厅0卫 80㎡,"
                          "
整租·盛世华廷 1室0厅 北,1100元/月,整租,1室0厅1卫 58㎡,"
                          "
整租·潍柴宿舍小区 2室1厅 南,900元/月(季付价),整租,2室1厅1卫 69㎡,"
                          "
整租·商贸组团 2室1厅 南,750元/月(半年付价),整租,2室1厅1卫 85㎡,"
                          "
整租·盛景商务中心 1室1厅 东/西,750元/月,整租,1室1厅1卫 40㎡,"
                          "
整租·金禾馨苑 2室1厅 南/北,900元/月,整租,2室1厅1卫 94㎡,"
                          "
整租·于家涝洼社区 2室2厅 南/北,1500元/月(季付价),整租,2室2厅1卫 90㎡ 精装修,"
                          "
整租·东方枫景苑 2室1厅 南,800元/月(季付价),整租,2室1厅1卫 90㎡,"
                          "
整租·工人新村小区 3室1厅 南/北,1200元/月,整租,3室1厅1卫 96㎡,"
                          "
整租·福安家园西区 2室1厅 南,800元/月(季付价),整租,2室1厅1卫 70㎡,"
                          "
整租·阳光花园南区 1室0厅 西,700元/月(半年付价),整租,1室0厅1卫 34㎡ 精装修,"
                          "
整租·商业小区 3室1厅 南/北,450元/月,整租,3室1厅1卫 92㎡,"
                          "
整租·阳光100奎文印 1室1厅 西,1100元/月,整租,1室1厅0卫 40㎡,"
                          "
整租·第五人民医院宿舍 3室2厅 南/北,1300元/月(半年付价),整租,3室2厅2卫 120㎡,"
                          "
整租·山东电力第三工程有限公司小区 3室2厅 南/北,1000元/月(季付价),整租,3室2厅1卫 90㎡,"
                          "
整租·SOHO公寓 1室0厅 南,800元/月(年付价),整租,1室0厅1卫 55㎡,"
                          "
整租·中海大观天下 3室2厅 南/北,1700元/月(季付价),整租,3室2厅2卫 126㎡,"
                          "
整租·月河社区 3室1厅 南/北,700元/月,整租,3室1厅1卫 72㎡,"
                          "
整租·圣菲漫步 2室1厅 南,700元/月(季付价),整租,2室1厅1卫 99㎡,"
                          "
整租·世嘉铭园农行小区 3室1厅 南,1300元/月,整租,3室1厅1卫 105㎡,"
                          "
